BKPF    会计核算凭证标题
BSEG    会计核算凭证段             —-聚集表
BSID    会计核算：客户的第二次索引
BSAD    会计核算：客户的第二个索引（已结算项目）
BSIK         会计核算：供应商的第二次索引 
BSAK         会计核算：供应商的第二个索引（已结算项目） 
BSIS         会计核算: 总帐科目的次级索引
BSAS         会计核算：总帐科目的第二个索引（已结算项目)
SKAT        总帐科目主记录 
LFA1        供应商主数据 (一般地区)
KNA1        客户主文件的一般数据 
CSKT        成本中心说明文本 
ANLA        资产主记录段 
ANLC        资产值字段
AUFK        订单主数据 
ANEP        资产行项目 
ANEK          凭证抬头资产过帐
CEPCT        利润中心主数据文本
V_ANEPK “带有行项目标题信息的资产行项目”(anek–1:n—anep)视图
T004         科目表的目录
