该模块表与信息类型有关
人员相关
例如：信息类型为nnnn的
相关的表为PAnnnn, 
结构为PSnnnn,Pnnnn
关联字段为pernr

员工发展的为HRnnnn
关联字段为objid
V_T500P                将公司代码分配到人事范围（视图）
V_T503Z                     对于雇员组/子组的国家分配（视图）
T001P                     人员范围/子范围
T500L                       人员国家分组
T500P                人员范围
T500T                     HR 国家分组 
T501                     员工组
T501T                     雇员组名称
T502T                     婚姻状况指定
T503                     雇员组/子组
T503K                员工子组
T503T                雇员子组名称
T508A                工作日程表规则
T508T                工作日程表雇员子组分组文本
T510                支付等级组
T52D6                工资类型组文本
